,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.06456139879398753,3.9593880950136096e-06,0.0027319777855593906,-1
1,2,15,2020-02-03,-0.07768985974410114,1.2124102406811323e-07,8.874842961785888e-05,-1
2,3,16,2020-02-04,-0.08731496109389777,2.513352616658458e-09,1.9252281043603787e-06,-1
3,4,17,2020-02-05,-0.09227042740616404,5.65230265218038e-11,4.45966679257032e-08,-1
4,5,18,2020-02-06,-0.09154037045851303,1.3140394417406024e-10,1.0262648039994105e-07,-1
5,6,19,2020-02-07,-0.08457633829316918,4.131531861023509e-08,3.053202045296373e-05,-1
6,7,20,2020-02-08,-0.07147989888422865,1.2563125519410422e-05,0.008541422741373664,-1
7,8,21,2020-02-09,-0.05301003587861579,0.0015162096358902048,0.829366670831942,0
8,9,22,2020-02-10,-0.030460329056700704,0.06694544273509695,1.0,0
9,10,23,2020-02-11,-0.005487720332752781,0.7400576249260342,1.0,0
10,11,24,2020-02-12,0.020050239149538695,0.2325303627486781,1.0,0
11,12,25,2020-02-13,0.04423847173080256,0.010063882634509422,1.0,0
12,13,26,2020-02-14,0.065245479554437,0.00015414313658384103,0.09788089173073905,0
13,14,27,2020-02-15,0.08148700288882836,9.861575187334617e-07,0.0007031303108569582,1
14,15,28,2020-02-16,0.09182622732635064,3.1708688636835946e-09,2.4225438118542665e-06,1
15,16,29,2020-02-17,0.09576635291441041,7.118134160444888e-11,5.594853450109682e-08,1
16,17,30,2020-02-18,0.09352396349399572,5.660260660608597e-10,4.381041751311054e-07,1
17,18,31,2020-02-19,0.08596285172330344,2.579754156665164e-08,1.9193370925588822e-05,1
18,19,32,2020-02-20,0.07440902222251357,7.098617777427107e-07,0.0005068413093082954,1
19,20,33,2020-02-21,0.06036365750793403,1.256091579613774e-05,0.008541422741373664,1
20,21,34,2020-02-22,0.0452578176123721,0.00018590261263290455,0.11618913289556534,0
21,22,35,2020-02-23,0.030339038719177733,0.002712948454830858,1.0,0
22,23,36,2020-02-24,0.016659669218607082,0.039272697403477705,1.0,0
23,24,37,2020-02-25,0.005082740258262893,0.4151297706913726,1.0,0
24,25,38,2020-02-26,-0.0037141026989444656,0.43887906184937986,1.0,0
25,26,39,2020-02-27,-0.009240307306453147,0.015852506414633444,1.0,0
26,27,40,2020-02-28,-0.01124009967433793,0.0009344468316498318,0.5354380345353537,0
27,28,41,2020-02-29,-0.009724534119873323,0.009270959156172891,1.0,0
28,29,42,2020-03-01,-0.004949339801056297,0.28235929043970875,1.0,0
29,30,43,2020-03-02,0.002639430362437472,0.6486456718662307,1.0,0
30,31,44,2020-03-03,0.012420701123768533,0.0833905440956465,1.0,0
31,32,45,2020-03-04,0.023619580482870745,0.005751167907164288,1.0,0
32,33,46,2020-03-05,0.03539333561930561,0.00028494872844272024,0.17543417930832214,0
33,34,47,2020-03-06,0.046918947221008714,1.0737033349137365e-05,0.00733339377746082,1
34,35,48,2020-03-07,0.05746919162474238,2.906295872317934e-07,0.00021012519156858665,1
35,36,49,2020-03-08,0.06647943733186769,4.997871253219408e-09,3.783388538687092e-06,1
36,37,50,2020-03-09,0.07359692442325609,4.462760852248751e-11,3.530043834128762e-08,1
37,38,51,2020-03-10,0.0786881123055024,1.5231623136149613e-13,1.2429004479098085e-10,1
38,39,52,2020-03-11,0.08182608548336352,1.4426810912053634e-16,1.2176228409773267e-13,1
39,40,53,2020-03-12,0.08327126170246404,1.2289319445448051e-19,1.0458210848076291e-16,1
40,41,54,2020-03-13,0.08339812374881748,5.385695948819313e-20,4.5886129483940544e-17,1
41,42,55,2020-03-14,0.082612295762945,7.165996672311238e-19,6.083931174792241e-16,1
42,43,56,2020-03-15,0.08128824981603076,3.1308842426452822e-18,2.651858953520554e-15,1
43,44,57,2020-03-16,0.07973716510968903,3.8794097467281414e-18,3.2819806457320077e-15,1
44,45,58,2020-03-17,0.07819931252537352,1.6924408583675057e-18,1.4351898478956449e-15,1
45,46,59,2020-03-18,0.07684351509168359,2.7655844582783375e-19,2.350746789536587e-16,1
46,47,60,2020-03-19,0.0757725539300897,1.5803085907172693e-20,1.349583536472548e-17,1
47,48,61,2020-03-20,0.07503085480409356,2.9097719871791446e-22,2.4878550490381686e-19,1
48,49,62,2020-03-21,0.07461063533942616,2.88128528157537e-24,2.4721427715916673e-21,1
49,50,63,2020-03-22,0.07445859235807047,2.0181730668176017e-25,1.7396651835967727e-22,1
50,51,64,2020-03-23,0.07448329047596185,2.854671499684429e-25,2.457872161228293e-22,1
51,52,65,2020-03-24,0.07456305898660202,3.728518774295759e-25,3.2065261458943527e-22,1
52,53,66,2020-03-25,0.0745539361179262,4.0329961081544936e-25,3.46434365690471e-22,1
53,54,67,2020-03-26,0.0742959739475234,2.0941269184062214e-23,1.7946667690741316e-20,1
54,55,68,2020-03-27,0.07362202383985582,1.7257990046614278e-20,1.472106550976198e-17,1
55,56,69,2020-03-28,0.07237213543901397,7.298559037488896e-18,6.167282386678117e-15,1
56,57,70,2020-03-29,0.0703969908289594,1.0707062929461739e-15,9.004639923677322e-13,1
57,58,71,2020-03-30,0.0675621446648663,7.26808175890543e-14,5.967095124061358e-11,1
58,59,72,2020-03-31,0.06375211324237832,3.0555832538362614e-12,2.4597445193381905e-09,1
59,60,73,2020-04-01,0.0588626436370128,1.0160899469985778e-10,7.976306083938836e-08,1
60,61,74,2020-04-02,0.0527857247413276,3.3297778223229646e-09,2.540620478432422e-06,1
61,62,75,2020-04-03,0.04538734751203569,1.3386910386674163e-07,9.759057671885464e-05,1
62,63,76,2020-04-04,0.036473294499543854,8.26981020002679e-06,0.005664819987018351,1
63,64,77,2020-04-05,0.025737844832991453,0.0009028950290913224,0.5198732612108067,0
64,65,78,2020-04-06,0.01267601569097508,0.10016093238193693,1.0,0
65,66,79,2020-04-07,-0.0035948586690562573,0.6911702893546663,1.0,0
66,67,80,2020-04-08,-0.024779601730418186,0.05156010020216167,1.0,0
67,68,81,2020-04-09,-0.05489445740403851,0.005403739651694319,1.0,0
68,69,82,2020-04-10,-0.11002695950371895,0.00278123476315676,1.0,0
69,70,83,2020-04-11,0.4545387115274165,0.20247224194456737,1.0,0
70,71,84,2020-04-12,0.9361646057855151,0.04119530799949204,1.0,0
71,72,85,2020-04-13,1.3347371221484015,0.008841856942344711,1.0,0
72,73,86,2020-04-14,1.6500504465143913,0.0019938416168636696,1.0,0
73,74,87,2020-04-15,1.8817883602345342,0.0005181577446981904,0.3072675426060269,0
74,75,88,2020-04-16,2.0294994676342255,0.00018496944070684864,0.11579086988248725,0
75,76,89,2020-04-17,2.0925615486929168,0.00011274546335383541,0.07260807839987,0
76,77,90,2020-04-18,2.070127564526278,0.00013500381984256864,0.08626744087940136,0
77,78,91,2020-04-19,1.9610387994554785,0.0003027707875636407,0.18499295120138448,0
78,79,92,2020-04-20,1.7636736184127877,0.001046570199548656,0.5954984435431853,0
79,80,93,2020-04-21,1.4756533224515138,0.004537154798709847,1.0,0
80,81,94,2020-04-22,1.093167255884204,0.021590918179142115,1.0,0
81,82,95,2020-04-23,0.60892185331578,0.10886430106296381,1.0,0
82,83,96,2020-04-24,0.0,1.0,1.0,0
83,84,97,2020-04-25,0.0,1.0,1.0,0
84,85,98,2020-04-26,0.0,1.0,1.0,0
85,86,99,2020-04-27,0.0,1.0,1.0,0
86,87,100,2020-04-28,0.0,1.0,1.0,0
87,88,101,2020-04-29,0.0,1.0,1.0,0
88,89,102,2020-04-30,0.0,1.0,1.0,0
89,90,103,2020-05-01,0.0,1.0,1.0,0
90,91,104,2020-05-02,0.0,1.0,1.0,0
91,92,105,2020-05-03,0.0,1.0,1.0,0
92,93,106,2020-05-04,0.0,1.0,1.0,0
93,94,107,2020-05-05,0.0,1.0,1.0,0
94,95,108,2020-05-06,0.0,1.0,1.0,0
95,96,109,2020-05-07,0.0,1.0,1.0,0
96,97,110,2020-05-08,0.0,1.0,1.0,0
97,98,111,2020-05-09,0.0,1.0,1.0,0
98,99,112,2020-05-10,0.0,1.0,1.0,0
99,100,113,2020-05-11,0.0,1.0,1.0,0
100,101,114,2020-05-12,0.0,1.0,1.0,0
101,102,115,2020-05-13,0.0,1.0,1.0,0
102,103,116,2020-05-14,0.0,1.0,1.0,0
103,104,117,2020-05-15,0.0,1.0,1.0,0
104,105,118,2020-05-16,0.0,1.0,1.0,0
105,106,119,2020-05-17,0.0,1.0,1.0,0
106,107,120,2020-05-18,0.0,1.0,1.0,0
107,108,121,2020-05-19,0.0,1.0,1.0,0
108,109,122,2020-05-20,0.0,1.0,1.0,0
109,110,123,2020-05-21,0.0,1.0,1.0,0
110,111,124,2020-05-22,0.0,1.0,1.0,0
111,112,125,2020-05-23,0.0,1.0,1.0,0
112,113,126,2020-05-24,0.0,1.0,1.0,0
113,114,127,2020-05-25,0.0,1.0,1.0,0
114,115,128,2020-05-26,0.0,1.0,1.0,0
115,116,129,2020-05-27,0.0,1.0,1.0,0
116,117,130,2020-05-28,0.0,1.0,1.0,0
117,118,131,2020-05-29,0.0,1.0,1.0,0
118,119,132,2020-05-30,0.0,1.0,1.0,0
119,120,133,2020-05-31,0.0,1.0,1.0,0
120,121,134,2020-06-01,0.0,1.0,1.0,0
121,122,135,2020-06-02,0.0,1.0,1.0,0
122,123,136,2020-06-03,0.0,1.0,1.0,0
123,124,137,2020-06-04,0.0,1.0,1.0,0
124,125,138,2020-06-05,0.0,1.0,1.0,0
125,126,139,2020-06-06,0.0,1.0,1.0,0
126,127,140,2020-06-07,0.0,1.0,1.0,0
127,128,141,2020-06-08,0.0,1.0,1.0,0
128,129,142,2020-06-09,0.0,1.0,1.0,0
129,130,143,2020-06-10,0.0,1.0,1.0,0
130,131,144,2020-06-11,0.0,1.0,1.0,0
131,132,145,2020-06-12,0.0,1.0,1.0,0
132,133,146,2020-06-13,0.0,1.0,1.0,0
133,134,147,2020-06-14,0.0,1.0,1.0,0
134,135,148,2020-06-15,0.0,1.0,1.0,0
135,136,149,2020-06-16,0.0,1.0,1.0,0
136,137,150,2020-06-17,0.0,1.0,1.0,0
137,138,151,2020-06-18,0.0,1.0,1.0,0
138,139,152,2020-06-19,0.0,1.0,1.0,0
139,140,153,2020-06-20,0.0,1.0,1.0,0
140,141,154,2020-06-21,0.0,1.0,1.0,0
141,142,155,2020-06-22,0.0,1.0,1.0,0
142,143,156,2020-06-23,0.0,1.0,1.0,0
143,144,157,2020-06-24,0.0,1.0,1.0,0
144,145,158,2020-06-25,0.0,1.0,1.0,0
145,146,159,2020-06-26,0.0,1.0,1.0,0
146,147,160,2020-06-27,0.0,1.0,1.0,0
147,148,161,2020-06-28,0.0,1.0,1.0,0
148,149,162,2020-06-29,0.0,1.0,1.0,0
149,150,163,2020-06-30,0.0,1.0,1.0,0
150,151,164,2020-07-01,0.0,1.0,1.0,0
151,152,165,2020-07-02,0.0,1.0,1.0,0
152,153,166,2020-07-03,0.0,1.0,1.0,0
153,154,167,2020-07-04,0.0,1.0,1.0,0
154,155,168,2020-07-05,0.0,1.0,1.0,0
155,156,169,2020-07-06,0.0,1.0,1.0,0
156,157,170,2020-07-07,0.0,1.0,1.0,0
157,158,171,2020-07-08,0.0,1.0,1.0,0
158,159,172,2020-07-09,0.0,1.0,1.0,0
159,160,173,2020-07-10,0.0,1.0,1.0,0
160,161,174,2020-07-11,0.0,1.0,1.0,0
161,162,175,2020-07-12,0.0,1.0,1.0,0
162,163,176,2020-07-13,0.0,1.0,1.0,0
163,164,177,2020-07-14,0.0,1.0,1.0,0
164,165,178,2020-07-15,-0.4520594541748178,0.10886430106296381,1.0,0
165,166,179,2020-07-16,-0.8127451019765299,0.021564990853635214,1.0,0
166,167,180,2020-07-17,-1.0949661801374002,0.004552442633515385,1.0,0
167,168,181,2020-07-18,-1.3043904739293355,0.001069794060192421,0.6055034380689103,0
168,169,182,2020-07-19,-1.4444028680275192,0.0003233043523834147,0.19656904624911614,0
169,170,183,2020-07-20,-1.517324518232218,0.00015552957625897785,0.09860575134819195,0
170,171,184,2020-07-21,-1.5248751043794828,0.0001433547000932817,0.09117358925932717,0
171,172,185,2020-07-22,-1.4683857175771051,0.00025866138090024525,0.1595940720154513,0
172,173,186,2020-07-23,-1.3489172891140138,0.0007774408496717837,0.4516931336593063,0
173,174,187,2020-07-24,-1.1673331967200848,0.003122907221464,1.0,0
174,175,188,2020-07-25,-0.9243500141622552,0.014179417651997012,1.0,0
175,176,189,2020-07-26,-0.6205742499789193,0.0669115718407246,1.0,0
176,177,190,2020-07-27,-0.256530774775601,0.33050071627634625,1.0,0
177,178,191,2020-07-28,0.16731359773506002,3.333203162937633e-06,0.0023099097919157797,1
178,179,192,2020-07-29,0.12892265530508698,3.4711535053541267e-07,0.00025027016773603256,1
179,180,193,2020-07-30,0.10513056097207474,8.837876220755903e-08,6.495839022255588e-05,1
180,181,194,2020-07-31,0.08786917234181167,3.731349163317871e-08,2.7611983808552247e-05,1
181,182,195,2020-08-01,0.07425133445584481,2.6150717259220106e-08,1.9429982923600537e-05,1
182,183,196,2020-08-02,0.06274940310292206,3.624885560159517e-08,2.686040200078202e-05,1
183,184,197,2020-08-03,0.05236861242788974,1.2586764160872244e-07,9.188337837436739e-05,1
184,185,198,2020-08-04,0.042439445216773015,1.1976568705455443e-06,0.0008455457506051543,1
185,186,199,2020-08-05,0.032491716330413506,2.860854481368605e-05,0.019081899390728595,1
186,187,200,2020-08-06,0.02231191287469463,0.001255880473047218,0.6995254234873004,0
187,188,201,2020-08-07,0.012043305821914208,0.05225015238497627,1.0,0
188,189,202,2020-08-08,0.00226784120074268,0.6904865381082421,1.0,0
189,190,203,2020-08-09,-0.005980282153691005,0.2594999947190129,1.0,0
190,191,204,2020-08-10,-0.011354493188593232,0.018263893495810538,1.0,0
191,192,205,2020-08-11,-0.01249735565057363,0.006421135777072942,1.0,0
192,193,206,2020-08-12,-0.008412815522912566,0.14012757937702108,1.0,0
193,194,207,2020-08-13,0.001274572681123782,0.8782363398985319,1.0,0
194,195,208,2020-08-14,0.016277659803493213,0.169979514750711,1.0,0
195,196,209,2020-08-15,0.03575537825199597,0.022575218488640202,1.0,0
196,197,210,2020-08-16,0.058446771514900235,0.002422110652051361,1.0,0
197,198,211,2020-08-17,0.08281208128906105,0.000201881929798129,0.1253686784046381,0
198,199,212,2020-08-18,0.107209718566123,1.1662816464443655e-05,0.007942378012286129,1
199,200,213,2020-08-19,0.12994238126854804,4.0089522688061536e-07,0.00028864456335404306,1
200,201,214,2020-08-20,0.1494081841446719,6.6332123081766344e-09,5.008075292673359e-06,1
201,202,215,2020-08-21,0.1642864420010713,3.909614927857087e-11,3.104234252718527e-08,1
202,203,216,2020-08-22,0.17377021108267218,6.78593703838748e-14,5.578040245554509e-11,1
203,204,217,2020-08-23,0.17773525043719304,3.4931092919954514e-16,2.9446911331521653e-13,1
204,205,218,2020-08-24,0.17672294973856015,1.4028202858050102e-15,1.1769662197904036e-12,1
205,206,219,2020-08-25,0.1717448489933343,3.8304841134564484e-14,3.1639798777150267e-11,1
206,207,220,2020-08-26,0.16395105788348824,4.346873803673202e-13,3.525314654778967e-10,1
207,208,221,2020-08-27,0.1543279551782471,2.57340458291942e-12,2.076737498415972e-09,1
208,209,222,2020-08-28,0.1435626310265345,1.160555504251977e-11,9.284444034015816e-09,1
209,210,223,2020-08-29,0.13205651266179605,5.102044721083e-11,4.03061532965557e-08,1
210,211,224,2020-08-30,0.11999252307794182,2.510338806188067e-10,1.9530435912143161e-07,1
211,212,225,2020-08-31,0.10741210234302477,1.488437998923126e-09,1.1446088211718839e-06,1
212,213,226,2020-09-01,0.09427888581046284,1.1235043568618867e-08,8.448752763601388e-06,1
213,214,227,2020-09-02,0.08052306941477207,1.1454449537635987e-07,8.407565960624814e-05,1
214,215,228,2020-09-03,0.06609229557863203,1.6667978960604384e-06,0.0011700921230344277,1
215,216,229,2020-09-04,0.05093131173119695,3.714426205480798e-05,0.02462664574233769,1
216,217,230,2020-09-05,0.03505543291818634,0.0013041102819907266,0.7237812065048532,0
217,218,231,2020-09-06,0.018613980773700727,0.05429693098201445,1.0,0
